slno,trans_date_trans_time,cc_num,category,AMT_TRANS,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud
25,21-06-2020 12:23,6.01E+15,food_dining,225000,Terri,Bailey,F,508 Erin Mount,Daly City,CA,94015,37.6787,-122.478,107941,"Buyer, industrial",04-10-1991,3dfec697170c9155ba76464e03179724,38.048242,-123.12568,1
26,21-06-2020 12:23,6.01E+15,health_fitness,979992,William,Johnson,M,50843 Vincent Mission,South Londonderry,VT,5155,43.1699,-72.8515,828,Scientific laboratory technician,30-08-1957,6c58a441ceeb7dc623316c6a68158d29,42.390565,-71.932418,0
27,21-06-2020 12:23,3.58E+15,personal_care,327024,Cody,Hooper,M,7233 John Parks,Lepanto,AR,72354,35.6069,-90.3359,2470,Counselling psychologist,06-10-1968,340ad023c64e8b7d2164ca3e53620186,36.581541,-89.680517,1
28,21-06-2020 12:24,3.50E+15,travel,790830,Kathleen,Martin,F,659 Nicole Cove Suite 560,New Waverly,TX,77358,30.5354,-95.4532,4993,"Scientist, biomedical",30-11-1948,9662b7fede7772f80331fd0abbc7909d,31.432355,-95.537859,0
29,21-06-2020 12:24,1.80E+14,personal_care,180000,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,29-12-1957,efbea5fb8c846843c13f224379ba249e,40.951475,-74.065226,1
30,21-06-2020 12:25,3.80E+14,personal_care,665892,Frank,Key,M,5537 Jessica Plaza,Pewee Valley,KY,40056,38.3039,-85.4834,3263,Stage manager,28-02-1930,3f5587dd43e45910ba221bc3a4dfdd3f,38.585316,-86.108185,0
31,21-06-2020 12:26,1.80E+14,home,512064,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,19-07-1974,bc7699cb759a26aa5dd58d4124febf8d,40.196876,-74.407686,1
32,21-06-2020 12:26,4.30E+15,personal_care,199008,Daniel,Cain,M,384 Newman Forks Apt. 370,Belmond,IA,50421,42.8511,-93.62,3032,Community pharmacist,08-08-1964,cd10a7d08e9262899109c06a8e180302,42.322809,-94.363655,0
33,21-06-2020 12:26,1.80E+14,entertainment,733315.5,Mackenzie,Salazar,F,982 Melissa Lock,Bagley,WI,53801,42.9207,-91.0685,878,Risk analyst,20-11-1974,902facfd912019350d63a3539990638e,42.736666,-90.09971,0
34,21-06-2020 12:26,1.80E+14,home,1125000,Krystal,Gamble,F,47152 Clayton Burg,Manchester,MD,21102,39.6747,-76.8941,11751,Clinical research associate,15-02-1964,0ad27a9cf7fcb1e0774a86709cb248f1,39.289186,-77.113659,1
35,21-06-2020 12:26,6.52E+15,food_dining,450000,James,Reese,M,26975 Richardson Mills Apt. 402,Sontag,MS,39665,31.6453,-90.1801,1196,"Librarian, academic",11-06-1958,5a13c85ba5d478ee2bed550c6ab71c1e,31.422908,-90.012124,0
36,21-06-2020 12:27,4.68E+15,personal_care,641173.5,Charles,Carrillo,M,17547 Stephen Turnpike Apt. 846,Hawthorne,CA,90250,33.9143,-118.3493,93193,"Editor, magazine features",19-04-1995,e91e10ae4ad160e1aee1054ea96de9ba,33.949418,-117.610248,1
37,21-06-2020 12:27,5.02E+11,kids_pets,454500,Jessica,Dominguez,F,06393 Nancy Parkways Suite 855,Gadsden,AL,35903,33.9845,-85.9077,67082,Ceramics designer,08-01-1970,cc3733b9ecedc1a7b0053bd0647cdaaa,34.727266,-86.883794,0
38,21-06-2020 12:27,6.01E+15,kids_pets,247275,Samuel,Johnston,M,16285 Jessica Lights,Birmingham,AL,35229,33.4629,-86.7904,493806,Musician,12-07-1980,60a92b482a0058d2769c1ab10c55cb25,32.761156,-85.903113,0
39,21-06-2020 12:27,2.13E+14,entertainment,540000,Zachary,Allen,M,69252 Oconnor Alley Apt. 153,Ollie,IA,52576,41.2001,-92.1354,568,Commercial horticulturist,24-07-1969,fc72537e1af1f675c8713aa1a36f3c53,41.214609,-92.226244,0
40,21-06-2020 12:28,2.71E+15,home,1193580,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",22-02-1977,fb32dada5c853d60e84278eaae707ee2,30.382414,-90.923894,1
41,21-06-2020 12:28,5.04E+11,home,604152,Andrew,Mcgee,M,4130 Tiffany Glen Apt. 562,San Antonio,TX,78248,29.5894,-98.5201,1595797,Exhibition designer,28-12-1975,4ffb7174155b877c4d18d1d86e71e813,30.50995,-99.374201,0
42,21-06-2020 12:28,6.76E+11,kids_pets,288873,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",28-12-1974,14dd61cec0b9be2d29aff70f605964ab,42.186473,-84.041557,0
43,21-06-2020 12:29,4.78E+12,entertainment,746280,Jessica,Garcia,F,13108 Jennifer Passage,Mc Cracken,KS,67556,38.5957,-99.554,320,Film/video editor,22-04-1961,822cd909aeb6a351637b5f9ba9866f19,39.456658,-99.569786,0
44,21-06-2020 12:29,3.76E+14,kids_pets,661702.5,Dale,Smith,M,25036 Contreras Turnpike Suite 270,Purmela,TX,76566,31.4841,-97.9903,258,Web designer,15-12-1943,5f947d9974aca9e08265898e26db1583,32.053228,-97.160999,0
45,21-06-2020 12:29,3.03E+13,home,180000,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,28-11-1972,4326b0d0ee56d328d40269e79a68ea30,40.922923,-91.977219,1
46,21-06-2020 12:29,6.01E+15,home,305221.5,Jeffrey,White,M,8617 Holmes Terrace Suite 651,Tuscarora,MD,21790,39.2667,-77.5101,100,"Production assistant, television",11-12-1979,ce73a1c97d13e160112f3142781300ac,39.535382,-77.064747,0
47,21-06-2020 12:29,4.11E+18,kids_pets,260640,Sandra,Schwartz,F,3789 Mark Walks,Sunflower,MS,38778,33.5567,-90.5451,1686,"Education officer, community",06-11-1986,e7b73a4e22392a7800afdca8c230878f,33.693106,-89.594744,0
48,21-06-2020 12:29,6.76E+11,food_dining,1350000,Amanda,Spencer,F,6682 Green Forks,Ogdensburg,NJ,7439,41.0767,-74.5982,2456,Senior tax professional/tax inspector,13-03-1994,def4f0ac7d3e4f02f33462a25632ef6c,41.061214,-73.997981,0
49,21-06-2020 12:29,3.77E+14,health_fitness,1506816,Jackie,Davis,F,1898 Parker Fork Apt. 057,Redford,MO,63665,37.3272,-91.0243,241,Investment analyst,27-10-1974,0920f8e36028f404b48385209a995113,38.211238,-90.421871,1
50,21-06-2020 12:30,6.01E+15,home,135000,Joshua,Cohen,M,426 Mark Ports,Brooklin,ME,4616,44.2541,-68.5565,824,"Loss adjuster, chartered",02-11-1974,c64caafcb8aaa4608fdba9f1ab53cbcc,44.95902,-69.150254,0
51,21-06-2020 12:30,3.52E+15,entertainment,675000,Audrey,Gonzalez,F,34180 Lopez Plaza,Fields Landing,CA,95537,40.7268,-124.2174,276,"Scientist, audiological",06-05-2029,12ef39ddb0af3a6bea386509d9929a41,40.535495,-123.900519,0
52,21-06-2020 12:30,5.71E+11,entertainment,454500,Louis,Fisher,M,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,26-02-1976,23e2084549f139d3fc1458aa6ebe2c6c,43.143727,-109.338705,1
53,21-06-2020 12:30,6.01E+15,health_fitness,314055,Kathryn,Smith,F,19838 Tonya Prairie Apt. 947,Rocky Mount,MO,65072,38.2911,-92.7059,1847,Tax inspector,26-10-1988,eda795ae153f71732ca5390ae6b5814f,38.420616,-92.942305,0
54,21-06-2020 12:31,4.12E+15,home,675000,Bridget,Bowen,F,49120 Regina Island Apt. 170,Port Saint Lucie,FL,34953,27.2625,-80.3793,181438,Primary school teacher,19-03-1934,a2204915943d2fbb1f700042240502b0,26.708918,-79.679105,1
55,21-06-2020 12:31,4.86E+18,personal_care,837427.5,Jeremy,Roberson,M,25887 Martin Inlet,Graniteville,VT,5654,44.1554,-72.4847,970,Agricultural consultant,29-09-1993,a2dbde4624ee6e24bb9633ce9fcd1672,43.760065,-72.192128,0
56,21-06-2020 12:31,4.60E+18,home,298728,Mary,Myers,F,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,30-12-1964,d23a9cc9f255e797022458fc9de3b2ce,36.312953,-89.938402,1
57,21-06-2020 12:32,5.62E+11,home,247500,Melissa,Brown,F,330 Montoya Ramp,Washington,DC,20036,38.9087,-77.0414,601723,Prison officer,14-03-1986,254585bc866b5c091b244515abba49da,39.417666,-76.627816,0
58,21-06-2020 12:32,2.23E+15,entertainment,640458,Angie,Jones,F,6970 Blake Trail,Clearwater,FL,33760,27.9004,-82.7152,172247,"Geneticist, molecular",22-10-1979,1c819bcf6e07bd61322a1e61e8f0c70f,27.482301,-83.200829,0
59,21-06-2020 12:32,2.30E+15,shopping_net,1227901.5,Judy,Hogan,F,4970 Michelle Burgs,Brooklyn,NY,11217,40.6816,-73.9798,2504700,Medical sales representative,01-09-1999,6c2b797c1729405a26268c665c4e5c8d,41.49385,-74.258146,0
60,21-06-2020 12:32,3.67E+13,kids_pets,1663987.5,Jessica,Perez,F,8172 Robertson Parkways Suite 072,Superior,AZ,85173,33.2887,-111.0985,2872,Petroleum engineer,28-10-1987,bf6a53e1ba9d726edf1654d0899f533b,32.390381,-111.567332,1
61,21-06-2020 12:32,2.13E+14,home,1080000,Adam,Santos,M,725 Jo Trace Apt. 102,Glendale,CA,91206,34.1556,-118.2322,172817,Advertising account planner,30-07-1982,c97a7d07cc73cb35af508befd2bc452b,33.623691,-118.424568,0
62,21-06-2020 12:33,3.57E+15,health_fitness,1130760,John,Stevens,M,428 Morgan River,Hudson,NY,12534,42.247,-73.7552,17867,Travel agency manager,29-07-1998,07013b6fac89440c1e8f15428f93b7f4,41.502652,-73.721972,0
63,21-06-2020 12:33,4.99E+12,kids_pets,95940,William,Thompson,M,977 Rita Grove Apt. 000,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,17-03-1937,c86b29ee783636aaceb7687877924f9c,40.857733,-73.447974,1
64,21-06-2020 12:33,2.13E+14,entertainment,315000,Tara,Campbell,F,05050 Rogers Well Apt. 439,Rock Springs,WY,82901,41.606,-109.23,27971,Music therapist,01-08-1984,da32ba67b0979adb0c65a60bdb01e64c,41.899218,-108.428107,0
65,21-06-2020 12:33,4.51E+15,shopping_pos,1256400,Monica,West,F,22084 Smith Roads Suite 776,Hurley,SD,57036,43.2893,-97.1904,811,Neurosurgeon,28-03-1972,3aedf92246758786b01168d5dc5773b5,43.795359,-96.833415,0
66,21-06-2020 12:33,3.00E+13,personal_care,1035000,Allison,Ayala,F,87665 Karen Mill Apt. 586,Fort Myers,FL,33967,26.4722,-81.8122,224256,Paramedic,29-08-1985,07dba59572da1a0db2cc95a80b002af7,26.674733,-82.009233,1
67,21-06-2020 12:34,3.50E+15,health_fitness,270000,Kathleen,Martin,F,659 Nicole Cove Suite 560,New Waverly,TX,77358,30.5354,-95.4532,4993,"Scientist, biomedical",30-11-1948,a6dd646fb7f598d3545ade098183cbbd,31.152375,-95.272196,0
68,21-06-2020 12:34,4.71E+18,home,450000,Juan,Henry,M,9795 Lori Island Suite 346,Turner,MT,59542,48.8328,-108.3961,192,Further education lecturer,04-01-1964,18aeb4f97adbab1170c6c1b60b82c228,48.456992,-107.518067,0
69,21-06-2020 12:35,4.65E+15,entertainment,450000,Monica,Tucker,F,302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",06-06-1999,8ec457ccddf3114213845f9d8ea1759c,36.192355,-85.869963,1
70,21-06-2020 12:35,4.96E+18,kids_pets,450000,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,21-12-1980,049d3ba5ef543bdabfa44b6443f3d20e,41.131668,-75.188408,0
71,21-06-2020 12:36,3.59E+15,shopping_pos,573628.5,Kimberly,Gonzalez,F,72966 Shannon Pass Apt. 391,Bauxite,AR,72011,34.5091,-92.4828,4074,"Scientist, audiological",20-12-1975,bb3889edf0a90703cc3e281322e9aef1,34.44252,-92.264081,0
72,21-06-2020 12:37,4.76E+12,shopping_net,495351,Robert,Evans,M,01892 Patricia Vista Apt. 828,Sachse,TX,75048,32.9643,-96.6012,20328,Site engineer,20-06-1985,b75478a228cd12239ac8ec796664c665,32.071768,-96.748077,1
73,21-06-2020 12:37,3.54E+15,personal_care,755190,Bradley,Anderson,M,3896 Gilmore Mill,Emmons,MN,56029,43.5089,-93.4824,744,Communications engineer,28-01-1968,73cca6d94d97e2bb1a0c69d5decea9eb,44.388218,-93.400188,0
74,21-06-2020 12:38,3.02E+13,food_dining,675000,Matthew,Lambert,M,7188 Melissa Crest Apt. 151,New Holstein,WI,53061,43.9446,-88.0911,5196,Child psychotherapist,22-01-1978,17e947f7909a4423a22a41e9fe912281,43.52303,-88.132231,1
75,21-06-2020 12:38,1.80E+14,shopping_net,1288350,Charles,Robles,M,3337 Lisa Divide,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",28-02-1989,7402f469a73cf016d793d3111306017b,28.669762,-82.456744,0
76,21-06-2020 12:38,4.15E+15,personal_care,135000,Tanner,Carroll,M,494 Burke Ports,Cokeburg,PA,15324,40.1008,-80.0652,632,Dealer,08-04-1989,069013b8389f4433e2e47ce227ccacf1,40.067362,-80.213927,1
77,21-06-2020 12:39,3.58E+15,shopping_pos,337761,Beth,Lambert,F,6447 Johnson Estates Apt. 986,Roosevelt,OK,73564,34.847,-98.9836,551,Amenity horticulturist,27-09-1970,67d795902f1bdaf4d042abfaa2e37496,34.858369,-98.135879,0
78,21-06-2020 12:39,3.58E+15,home,585000,Lindsay,Wilson,F,7618 Gonzales Mission,Centerview,MO,64019,38.7897,-93.8702,2368,Electronics engineer,17-07-1989,8caf8fcd904f367427bb0f699b8f7453,39.485253,-92.983354,1
79,21-06-2020 12:39,3.55E+15,home,113760,Sharon,Johnson,F,7202 Jeffrey Mills,Conway,WA,98238,48.34,-122.3456,85,"Research officer, political party",01-09-1984,c8eebe4d993fde9d6a7cfbec8494bb59,49.031436,-122.865744,0
80,21-06-2020 12:39,3.75E+14,food_dining,135000,Joshua,Mendoza,M,4215 Miranda Field Suite 326,Tallmansville,WV,26237,38.8564,-80.158,571,Accounting technician,16-09-1967,5a5a8db2cf7f2d86fa35114a841092b5,38.416893,-79.24534,1
81,21-06-2020 12:39,4.43E+12,kids_pets,252000,Michelle,Rodriguez,F,1742 Brandon Squares Apt. 461,Ruidoso,NM,88355,33.3305,-105.6933,8874,Licensed conveyancer,16-08-2000,65aef2c6b0d2975569f05afdd8d23377,33.775701,-106.03686,0
82,21-06-2020 12:39,3.72E+14,personal_care,760225.5,Benjamin,Martin,M,0495 Baker Manors,Oriskany Falls,NY,13425,42.9576,-75.4838,1970,"Programmer, multimedia",09-06-1949,3c01079627483229758e02ea10811e72,42.541989,-75.057743,1
83,21-06-2020 12:39,6.01E+15,food_dining,270000,Samuel,Johnston,M,16285 Jessica Lights,Birmingham,AL,35229,33.4629,-86.7904,493806,Musician,12-07-1980,e77fc08b8dcf79c20e724fea72946660,33.936769,-86.762376,0
84,21-06-2020 12:39,6.76E+11,food_dining,733315.5,Edward,Hensley,M,24318 Dixon Mills,Elk Rapids,MI,49629,44.8955,-85.4082,2223,Chief Financial Officer,18-01-1986,42d03a3e38f7c5aa63cb51a56266e771,45.877554,-85.362472,1
85,21-06-2020 12:40,4.17E+15,entertainment,796396.5,Stephen,Marshall,M,47144 Roberts Keys,Monmouth Beach,NJ,7750,40.333,-73.9809,3279,Health promotion specialist,05-10-1978,a0d3f84d700dfb8165a63087f824d381,41.186828,-74.811464,0
86,21-06-2020 12:40,6.01E+15,misc_pos,343377,Vincent,Ward,M,06730 Joshua Isle Suite 555,North Brookfield,MA,1535,42.2665,-72.0821,4680,Field seismologist,03-04-1986,8a358086076dd14ded0409aa035d2e6f,42.127625,-71.635136,1
87,21-06-2020 12:40,4.22E+18,entertainment,327024,Adam,Riddle,M,27718 Mason Bypass,Mount Saint Joseph,OH,45051,39.0965,-84.6431,177,Exhibition designer,30-05-1974,eb52e370f7ed2183cf36ab2f6424c5df,39.417127,-84.959324,0
88,21-06-2020 12:40,6.76E+11,food_dining,450000,Christopher,Cummings,M,478 George Course Apt. 056,Sprague,NE,68438,40.6267,-96.7456,142,Chiropodist,24-08-1967,e127320e58b70c069149e3973d0eb45a,41.41602,-95.774493,0
89,21-06-2020 12:41,6.30E+11,entertainment,547344,Bryan,Miller,M,411 Laurie Fords,Cass,WV,24927,38.388,-79.9906,365,Special effects artist,14-03-1970,5fd8939565a1580d370082d81bbcb1f4,38.665727,-80.435349,0
90,21-06-2020 12:42,4.71E+15,personal_care,225000,Jared,Walters,M,3326 Hannah Fords,Cord,AR,72524,35.8184,-91.3375,376,"Designer, ceramics/pottery",08-09-1938,ca1bd51b5324c47c68bed7bbfdd80753,34.871462,-91.496576,1
91,21-06-2020 12:42,3.02E+13,food_dining,545040,Matthew,Lambert,M,7188 Melissa Crest Apt. 151,New Holstein,WI,53061,43.9446,-88.0911,5196,Child psychotherapist,22-01-1978,7f736b6cf6e36cdada7694aeca3daa24,43.051363,-87.799946,0
92,21-06-2020 12:42,3.77E+14,kids_pets,373140,Theresa,Blackwell,F,43576 Kristina Islands,Shenandoah Junction,WV,25442,39.3716,-77.8229,1925,Systems developer,14-02-1966,0da884d5079ef2919db75faeb328a191,39.544819,-76.943965,1
93,21-06-2020 12:43,4.29E+15,personal_care,862560,Gail,Weaver,F,979 Stewart Lake,New Ellenton,SC,29809,33.413,-81.69,2206,Biomedical scientist,31-12-1986,1023690403cb70fdd8df519f40fc9d54,33.647548,-80.75383,0
94,21-06-2020 12:43,1.80E+14,kids_pets,953460,Michelle,Woods,F,952 Joseph Throughway,Munith,MI,49259,42.3703,-84.2485,2523,Geophysicist/field seismologist,21-03-1988,c51cdf622b069ea4e183428de3e94dce,42.225874,-83.540129,1
95,21-06-2020 12:43,6.01E+15,shopping_pos,135000,Allison,Allen,F,40624 Rebecca Spurs,De Witt,AR,72042,34.2853,-91.3336,5161,Electrical engineer,08-04-1993,80c507e5c3aba4a8602e46b842f128af,35.026522,-90.444442,0
96,21-06-2020 12:43,5.50E+15,food_dining,284400,Wayne,Payne,M,587 Bradley Inlet Suite 281,Cuyahoga Falls,OH,44223,41.1464,-81.5107,47772,Equities trader,04-01-1966,04207da612fce9f0093acb23a68c11e7,40.312539,-81.654015,1
97,21-06-2020 12:44,6.01E+15,shopping_pos,315000,Valerie,Davis,F,3861 Anderson Ramp Apt. 536,Drakes Branch,VA,23937,36.9688,-78.5615,1970,Energy engineer,02-09-1985,b1376da15c587d540fe1fce58e3f7592,37.901707,-79.52365,0
98,21-06-2020 12:44,3.75E+14,entertainment,900000,Daniel,Escobar,M,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,05-11-1971,ace32c67fb8d3d030fdddad4649c9dae,42.964421,-83.670351,0
99,21-06-2020 12:45,4.50E+12,home,675000,Joseph,Nixon,M,86882 Desiree Camp Suite 047,Tyaskin,MD,21865,38.2833,-75.8465,470,Music tutor,07-04-1965,b0dc912812fad96b08bef19985b47c97,38.215956,-75.272334,1
100,21-06-2020 12:45,6.59E+15,health_fitness,180000,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,PA,19154,40.0897,-74.9781,1526206,Commercial horticulturist,23-05-1972,39db7261e2dd32311c1e5ff2a52bac79,39.151823,-75.035003,0
101,21-06-2020 12:46,4.40E+18,health_fitness,781920,Marissa,Powell,F,474 Allen Haven,North Loup,NE,68859,41.4972,-98.7858,509,"Nurse, children's",15-09-1980,c824dd2d399b50aba31415d2985f97c0,41.103974,-98.4845,0
102,21-06-2020 12:46,3.06E+13,kids_pets,787131,Vincent,Cain,M,64851 Cole Turnpike,Hartford,AL,36344,31.086,-85.7192,5732,Jewellery designer,07-12-1945,8306d2588665088674d4c93ff87f1748,31.361379,-85.084231,1
103,21-06-2020 12:46,6.01E+15,food_dining,808650,Kathryn,Smith,F,19838 Tonya Prairie Apt. 947,Rocky Mount,MO,65072,38.2911,-92.7059,1847,Tax inspector,26-10-1988,7c1fc4677c2c3c98b2fa39e7417bb09c,38.40991,-92.002267,0
104,21-06-2020 12:46,4.56E+12,home,675000,Daniel,Briggs,M,7118 Jessica Unions Apt. 789,Moriarty,NM,87035,34.9889,-106.0609,7268,"Therapist, art",04-08-1988,a5d7194717ad3c916578a809950d2096,35.342658,-106.334921,0
105,21-06-2020 12:46,4.12E+15,kids_pets,448272,Melinda,Gutierrez,F,1497 West Gateway,Eureka,IL,61530,40.7152,-89.2706,6713,Archivist,19-08-1945,4924a7f67664a95acbeaeb377d5e6a83,41.415532,-89.517881,1
106,21-06-2020 12:46,4.81E+18,shopping_pos,263686.5,Carolyn,Perez,F,433 Blake Roads Suite 967,Wheaton,MO,64874,36.7651,-94.0492,760,Production manager,31-08-1985,b847bab5baeb184fccc801ad29558b87,37.191244,-94.746417,0
